t,x,y,z,vx,vy,vz,roll,pitch,yaw
0,0,0,0,1.13843,-3.32563,-0.0387888,0.022447,1e-05,-1.22191
0.110132,0.111925,-0.315112,0.0119781,1.16674,-3.28811,0.0110176,0.022857,0.004342,-1.20608
0.210042,0.20915,-0.608214,0.0306168,1.2347,-3.24116,0.0874308,0.023136,0.014862,-1.19362
0.310212,0.298412,-0.917362,0.0559235,1.25056,-3.17071,0.0734624,0.019954,0.02287,-1.18118
0.420052,0.393841,-1.24895,0.079071,1.25049,-3.10345,-0.000962102,0.019708,0.023251,-1.16722
0.520034,0.501724,-1.52598,0.0940552,1.27208,-3.05225,-0.0403499,0.018837,0.020969,-1.1547
0.620008,0.611389,-1.77938,0.0988846,1.28128,-3.02068,-0.0647176,0.021363,0.019423,-1.14217
0.730021,0.738853,-2.05979,0.0969925,1.31213,-2.95372,-0.100493,0.020202,0.015734,-1.1288
0.830196,0.844767,-2.29983,0.106712,1.36277,-2.90357,-0.0965995,0.018091,0.012506,-1.11721
0.930085,0.960118,-2.56056,0.115639,1.38932,-2.87019,-0.109269,0.013796,0.011547,-1.10575
1.04007,1.09718,-2.84075,0.119415,1.37953,-2.85192,-0.202773,0.015021,0.004902,-1.09323
1.14006,1.21751,-3.11834,0.117516,1.38361,-2.84484,-0.131874,0.017255,0.003894,-1.08131
1.24006,1.33778,-3.40166,0.122551,1.4087,-2.81815,-0.000609482,0.020215,0.008534,-1.07012
1.35018,1.46761,-3.71807,0.144218,1.44058,-2.76998,0.019746,0.020397,0.01183,-1.05775
1.45005,1.59686,-3.98605,0.161987,1.44744,-2.73338,-0.0416105,0.021921,0.010436,-1.04591
1.55008,1.72747,-4.24399,0.185249,1.47052,-2.69936,-0.0273684,0.022408,0.008993,-1.0342
1.66006,1.88235,-4.54689,0.206726,1.53488,-2.68337,-0.00658603,0.019483,0.01316,-1.02243
1.7601,2.02102,-4.82873,0.225288,1.54654,-2.65084,-0.0386113,0.017661,0.008672,-1.01174
1.86018,2.16696,-5.10607,0.238571,1.56124,-2.65101,-0.0468363,0.017297,0.000497,-1.0007
1.9601,2.31977,-5.37489,0.25528,1.57933,-2.67228,-0.0663215,0.018991,-0.005958,-0.989086
2.07007,2.49567,-5.66459,0.26696,1.61285,-2.69583,-0.124765,0.02521,-0.012649,-0.975866
2.17022,2.66317,-5.92968,0.270859,1.68424,-2.69659,-0.0615715,0.026289,-0.010872,-0.964114
2.2801,2.85454,-6.22068,0.2798,1.76214,-2.68443,-0.00720889,0.024044,-0.005902,-0.951016
2.38013,3.03627,-6.4798,0.305367,1.80107,-2.66921,0.00374997,0.021993,-0.001312,-0.939091
2.48014,3.21915,-6.74031,0.324776,1.82152,-2.65587,-0.07659,0.021846,-0.002787,-0.927382
2.58012,3.40769,-7.00568,0.33992,1.85811,-2.61533,-0.00201098,0.021606,-0.002465,-0.916398
2.69011,3.61592,-7.29136,0.36853,1.88083,-2.60741,0.165458,0.017229,0.006849,-0.902506
2.79012,3.80749,-7.55008,0.394058,1.90093,-2.58469,0.153574,0.016993,0.014683,-0.890655
2.8903,4.00002,-7.81055,0.405952,1.8936,-2.58067,0.0562795,0.022983,0.016531,-0.879629
3.00011,4.21444,-8.08668,0.415825,1.91952,-2.57456,-0.049166,0.028961,0.013731,-0.866497
3.10012,4.41545,-8.33463,0.415588,2.00117,-2.54697,-0.0958454,0.031363,0.012194,-0.854687
3.21014,4.64895,-8.59797,0.418282,2.10756,-2.50779,-0.113716,0.023847,0.010491,-0.841585
3.31036,4.86695,-8.84136,0.422096,2.16152,-2.52244,-0.078574,0.019414,0.00898,-0.829008
3.41031,5.08713,-9.1035,0.42086,2.18355,-2.60287,-0.0329665,0.022638,0.009103,-0.816029
3.51026,5.31605,-9.3651,0.425644,2.26265,-2.64656,-0.0229652,0.028312,0.010926,-0.803656
