t,x,y,z,vx,vy,vz,roll,pitch,yaw
0,0,0,0,1.13843,-3.32563,-0.0387888,0.022447,1e-05,-1.22191
0.110132,0.13117,-0.363124,0.00497098,1.19102,-3.29717,0.0451365,0.0220235,0.00454302,-1.20639
0.210042,0.253942,-0.68957,0.0139054,1.22883,-3.26741,0.089425,0.0221438,0.014104,-1.19359
0.310212,0.376019,-1.01233,0.0181486,1.2187,-3.22213,0.0423601,0.0198063,0.0214111,-1.18046
0.420052,0.510893,-1.36286,0.0150032,1.2279,-3.19131,-0.0286363,0.0194975,0.0221465,-1.16629
0.520034,0.635888,-1.68116,0.00965118,1.25018,-3.18351,-0.0535297,0.0190814,0.0203868,-1.15385
0.620008,0.760654,-1.99874,0.00132374,1.24798,-3.17667,-0.0832962,0.0214646,0.0186707,-1.14158
0.730021,0.901115,-2.34499,-0.012208,1.27678,-3.14735,-0.123002,0.0201742,0.0147155,-1.12851
0.830196,1.03265,-2.65962,-0.0230387,1.31302,-3.14083,-0.108117,0.0180873,0.0116222,-1.11711
0.930085,1.16647,-2.97189,-0.0394576,1.33975,-3.12615,-0.164371,0.0143506,0.0100322,-1.10568
1.04007,1.31137,-3.31768,-0.0616155,1.31747,-3.14403,-0.20147,0.0160418,0.00364087,-1.09316
1.14006,1.44299,-3.63203,-0.0680438,1.31632,-3.14389,-0.0642891,0.0183417,0.00267984,-1.08131
1.24006,1.57624,-3.94407,-0.0648314,1.33246,-3.12034,0.0321243,0.0211117,0.00640574,-1.06997
1.35018,1.72395,-4.2847,-0.0656026,1.34131,-3.09313,-0.00700294,0.0215954,0.00891379,-1.0573
1.45005,1.85717,-4.59203,-0.0726442,1.33394,-3.07729,-0.0705074,0.023135,0.00751008,-1.04547
1.55008,1.98617,-4.85469,-0.0686875,1.35472,-2.9602,0.0265432,0.0193725,-0.00625958,-1.0337
1.66006,2.132,-5.11611,-0.0703052,1.36493,-2.82275,-0.027827,0.0111977,-0.0168584,-1.02861
1.7601,2.28911,-5.39188,-0.0726772,1.39793,-2.77425,-0.0481966,0.00164841,-0.0195231,-1.01961
1.86018,2.41916,-5.6714,-0.071046,1.38326,-2.76643,-0.0456461,0.00740671,-0.0304692,-1.00483
1.9601,2.45574,-6.03769,-0.06292,1.28903,-2.86338,-0.101953,0.00996219,-0.0356832,-0.992456
2.07007,2.6051,-6.34705,-0.0727525,1.33933,-2.82074,-0.0894091,0.0137385,-0.0416626,-0.978529
2.17022,2.74269,-6.64508,-0.0717184,1.3744,-2.81292,-0.0204654,0.014882,-0.0376399,-0.968223
2.2801,2.91736,-6.94506,-0.0636602,1.44031,-2.7628,0.0303604,0.00948456,-0.0313404,-0.956379
2.38013,3.05777,-7.21302,-0.0600457,1.43338,-2.72791,0.00750602,0.00813562,-0.0301124,-0.946632
2.48014,3.19604,-7.49479,-0.0650615,1.42266,-2.71007,-0.0610568,0.00813422,-0.0317975,-0.935318
2.58012,3.33527,-7.80596,-0.0442483,1.42392,-2.68589,0.0904571,0.0119612,-0.0325213,-0.927753
2.69011,3.52286,-8.08639,-0.0131708,1.44895,-2.64906,0.200018,0.00395139,-0.0262069,-0.908919
2.79012,3.66971,-8.35306,0.00575979,1.43672,-2.61703,0.151076,0.00304766,-0.0182962,-0.897607
2.8903,3.81186,-8.61471,0.00829466,1.41906,-2.61198,0.0253045,0.00743684,-0.0163303,-0.886357
3.00011,3.97061,-8.89894,0.00430171,1.45292,-2.58248,-0.0418533,0.0129994,-0.0192481,-0.873759
3.10012,4.11366,-9.16684,-0.00100823,1.52101,-2.55609,-0.0788713,0.016051,-0.0222781,-0.863653
3.21014,4.30797,-9.4232,-0.000480288,1.59935,-2.49943,-0.0563069,0.00944991,-0.0255587,-0.850132
3.31036,4.47084,-9.6792,-0.00191617,1.60428,-2.53467,-0.0126364,0.00419457,-0.0285693,-0.83734
3.41031,4.64041,-9.94042,0.00127316,1.6238,-2.60614,0.0257571,0.00633426,-0.0269517,-0.82692
3.51026,4.82676,-10.2055,0.00469576,1.7237,-2.60966,0.0281573,0.00936929,-0.0265522,-0.814926
3.62014,5.05924,-10.5139,0.0151072,1.84184,-2.62133,0.0430884,0.00829872,-0.0248121,-0.801758
3.72015,5.28984,-10.7566,0.019297,1.9321,-2.6136,0.0487683,0.00483681,-0.0239789,-0.791219
3.82038,5.5047,-10.9255,0.0435077,1.99381,-2.58333,0.017933,0.0072,-0.0261101,-0.774498
3.93024,5.71967,-11.2295,0.0475592,2.0804,-2.59932,0.0265933,0.00722491,-0.0303371,-0.75901
4.03023,5.92235,-11.5146,0.0539984,2.15002,-2.62469,0.04943,0.00716245,-0.0332258,-0.744611
4.13015,6.14511,-11.7444,0.0571144,2.20387,-2.6397,0.0330169,0.00756653,-0.0363258,-0.728753
4.24018,6.4015,-12.0321,0.0559707,2.29138,-2.63662,-0.0223316,0.0107643,-0.0397392,-0.710012
4.34036,6.64186,-12.2886,0.0535767,2.39929,-2.56037,-0.0238962,0.0115038,-0.0447091,-0.693335
4.44017,6.9214,-12.5692,0.0816279,2.53212,-2.49431,0.0614308,-4.80501e-05,-0.0470985,-0.683692
4.55017,7.20445,-12.8396,0.0931414,2.57313,-2.45772,0.104664,-0.00544836,-0.0478272,-0.663647
4.6502,7.46419,-13.0808,0.106113,2.59675,-2.412,0.129688,-0.00641271,-0.04751,-0.645042
4.75019,7.74938,-13.2849,0.115019,2.63288,-2.30552,0.112486,-0.00697617,-0.047929,-0.62593
4.86028,8.04562,-13.5326,0.143629,2.6851,-2.21331,0.129855,-0.00627922,-0.0404612,-0.608292
4.9602,8.35342,-13.8922,0.248115,2.77173,-2.2149,0.188702,-0.00683945,-0.0314474,-0.591158
5.06028,8.7586,-14.0408,0.324666,2.87301,-2.04997,0.209072,-0.0169537,-0.0303155,-0.575151
5.17031,9.23805,-14.305,0.42369,2.97999,-2.01689,0.230096,-0.015675,-0.026115,-0.573792
5.2702,9.52519,-14.5855,0.463153,2.97198,-1.96801,0.24639,-0.0137581,-0.0262046,-0.557332
5.37026,9.9407,-14.7019,0.501332,3.03842,-1.86119,0.261707,-0.0134299,-0.0226151,-0.555064
5.48029,10.4575,-14.7201,0.568006,3.16548,-1.66072,0.281072,-0.0220337,-0.0201558,-0.555872
5.58028,10.8875,-14.8255,0.619034,3.21872,-1.55684,0.292715,-0.0218122,-0.0179059,-0.554248
5.68032,11.3536,-14.9038,0.700148,3.2942,-1.4224,0.311305,-0.0260887,-0.0220375,-0.550488
5.7903,11.9509,-15.0468,0.793394,3.43395,-1.31853,0.333015,-0.0279284,-0.0105746,-0.551529
5.89027,12.3651,-15.2182,0.896615,3.49092,-1.27995,0.378689,-0.0261796,-0.00696552,-0.543212
5.99021,12.955,-15.3818,0.90334,3.56502,-1.2189,0.370384,-0.023319,-0.00551218,-0.562419
6.0903,13.3556,-15.527,0.905442,3.57278,-1.15334,0.345593,-0.0244384,-0.00550557,-0.558164
6.20048,13.7864,-15.687,0.933601,3.58756,-1.08688,0.335613,-0.025452,-0.00702417,-0.554629
6.30032,14.2227,-15.8659,0.95722,3.62003,-1.0466,0.342293,-0.0268632,-0.00657789,-0.553091
6.40038,14.7201,-16.2381,1.06714,3.63767,-1.17304,0.380905,-0.0182181,-0.00549514,-0.553808
6.51044,14.977,-16.2888,1.09537,3.53941,-1.09672,0.377989,-0.0206578,-0.00881976,-0.556409
6.61035,15.3245,-16.3997,1.13669,3.5224,-1.05823,0.379229,-0.0200376,-0.00962872,-0.558194
6.71044,15.6885,-16.5238,1.17905,3.51118,-1.03808,0.393173,-0.0190986,-0.0083279,-0.56191
6.82038,15.9635,-16.5179,1.18304,3.43861,-0.999654,0.391998,-0.0143036,-0.00476882,-0.569598
6.92038,16.307,-16.6348,1.22452,3.45155,-1.03627,0.381786,-0.0120706,-0.0139391,-0.576913
7.02034,16.6615,-16.7549,1.2724,3.48935,-1.07053,0.39262,-0.0111225,-0.0184053,-0.583948
7.13036,17.0332,-16.8466,1.30801,3.48208,-1.07915,0.418235,-0.010912,-0.0192895,-0.595156
7.23034,17.3815,-16.9474,1.348,3.47973,-1.08095,0.429538,-0.0117108,-0.0181637,-0.607475
7.34042,17.6283,-16.9187,1.36296,3.38923,-1.01337,0.441571,-0.0126246,-0.0194935,-0.618756
7.44039,17.6819,-16.852,1.40122,3.21221,-0.98137,0.478973,-0.0134204,-0.0187895,-0.634848
7.54038,18.0329,-16.919,1.43191,3.13882,-0.954369,0.466345,-0.0152979,-0.0266993,-0.65661
7.65035,18.5696,-17.0688,1.42515,2.97679,-0.792822,0.39973,-0.0190443,-0.045302,-0.680416
7.75037,18.2706,-17.039,1.65167,3.27802,-1.34727,0.529542,-0.00964878,0.0106846,-0.692738
7.85043,18.9831,-17.2242,1.58278,3.01242,-0.991946,0.435709,-0.0182362,-0.037363,-0.721563
7.96037,19.3041,-17.3335,1.63151,2.91982,-0.994258,0.443202,-0.0207445,-0.0393959,-0.747695
8.06037,19.6275,-17.4439,1.67262,2.82749,-1.00298,0.457911,-0.0226009,-0.0257675,-0.777804
8.16042,19.9344,-17.5332,1.68379,2.74413,-1.01925,0.455897,-0.022199,-0.0132624,-0.787181
8.27036,20.449,-17.6515,1.69831,2.58315,-0.809468,0.443784,-0.0254499,-0.0194365,-0.841562
8.37043,21.3954,-17.4981,1.53438,1.92516,0.131696,0.2888,-0.0300026,-0.0466861,-0.960402
8.47039,20.4794,-17.8476,1.87874,2.9221,-1.3709,0.540213,-0.0345503,-0.0203794,-0.855628
8.5804,21.1206,-18.0655,1.90023,2.90325,-1.3212,0.532079,-0.0357821,-0.0254062,-0.892498
8.68044,21.5337,-18.2639,1.92993,2.8753,-1.41267,0.529489,-0.0333678,-0.023318,-0.918977
8.78043,21.88,-18.4492,1.9809,2.85199,-1.48224,0.537047,-0.0309865,-0.0220586,-0.946468
8.89045,22.4773,-18.8914,2.004,2.85637,-1.74719,0.525221,-0.0325337,-0.0259666,-0.97629
8.99041,22.7533,-19.1261,2.05673,2.819,-1.86786,0.531593,-0.0331514,-0.0219827,-1.0017
9.09046,23.2308,-19.4294,2.10852,2.80203,-1.93888,0.544898,-0.0394817,-0.0280806,-1.02793
9.20045,23.676,-19.8489,2.14702,2.76802,-2.11278,0.532505,-0.0437194,-0.0339496,-1.05135
9.30044,24.2507,-20.0943,2.16105,2.74826,-2.15185,0.502576,-0.0334854,-0.0299459,-1.08788
9.40048,24.6432,-20.143,2.11507,2.69626,-2.04744,0.455454,-0.0327335,-0.0353024,-1.1346
9.51051,25.6745,-20.6712,2.11467,2.81139,-2.14351,0.459435,-0.042584,-0.0543835,-1.20018
9.61044,26.1768,-21.1208,2.06165,2.70398,-2.2829,0.438119,-0.0298239,-0.0651972,-1.22567
9.71044,26.442,-21.3501,2.1055,2.65194,-2.29388,0.438542,-0.0301455,-0.0642575,-1.25329
9.82053,27.2537,-21.95,2.21601,2.78517,-2.53063,0.443026,-0.0327093,-0.0403353,-1.27601
9.9205,27.5254,-22.2068,2.25933,2.71809,-2.56863,0.433362,-0.0349271,-0.0415231,-1.30384
10.0205,27.7895,-22.4677,2.30229,2.64187,-2.60995,0.429708,-0.0370955,-0.0434594,-1.33213
10.1205,27.9848,-22.7392,2.32102,2.49528,-2.66026,0.430174,-0.0316618,-0.044237,-1.3606
10.2305,28.2511,-23.0374,2.36905,2.42164,-2.71169,0.436768,-0.0315228,-0.0452349,-1.39187
10.3307,28.4862,-23.3141,2.41475,2.34461,-2.75912,0.455758,-0.0312761,-0.0452278,-1.4208
10.4405,28.7337,-23.6226,2.46787,2.25493,-2.81108,0.483919,-0.0323058,-0.0448321,-1.45178
10.5405,29.7388,-24.4015,2.66362,2.57136,-3.15711,0.513726,-0.0451046,-0.0282654,-1.47215
10.6405,29.6052,-24.7204,2.66808,2.25409,-3.29631,0.481845,-0.0342391,-0.0194478,-1.49867
10.7505,29.8441,-25.091,2.71991,2.17269,-3.37044,0.471403,-0.0349724,-0.0208157,-1.52814
10.8507,29.8965,-25.517,2.7438,1.97051,-3.52721,0.455534,-0.0270258,-0.0186876,-1.54919
