t,ax_B,ay_B,az_B,wx_B,wy_B,wz_B
0,-0.822497,0.176675,9.74239,-0.0327518,-0.00126002,0.00732934
0.0999946,-0.717467,-0.0475622,9.7235,-0.0312025,-0.00162858,0.0204674
0.210009,-0.562183,-0.440362,9.58577,0.00547376,0.0104188,0.0448808
0.310155,-0.447372,-0.291789,9.45635,0.0684357,0.00591419,0.0747323
0.410073,0.000479544,0.629239,9.90047,0.0634705,-0.00515424,0.0937464
0.520033,0.238742,0.528284,9.70039,0.00864859,0.000690472,0.12284
0.620034,0.272048,1.02008,10.3215,-0.0348983,0.00744638,0.155123
0.720035,0.416669,0.912535,9.84139,-0.0596981,0.0228393,0.162915
0.830247,0.539223,0.0802989,9.12601,-0.0422252,0.0036999,0.172127
0.930031,0.66634,0.144474,9.53566,0.00211179,-0.0165318,0.180794
1.03005,0.720172,0.555542,9.89816,0.0434146,-0.0296458,0.183501
1.14004,0.725879,1.04918,10.1166,0.0213527,-0.0362542,0.181604
1.24005,0.866128,1.03823,9.95184,-0.00339727,-0.0274611,0.184664
1.3402,1.08776,0.983493,9.78107,-0.0439613,-0.0132147,0.180793
1.45007,1.11924,0.798839,9.81531,-0.0611972,0.00830896,0.169635
1.55005,1.1815,0.688726,9.95924,-0.0582249,0.022838,0.152397
1.65007,1.06833,0.314547,10.2824,-0.029418,0.0266154,0.135217
1.76008,1.2388,0.571591,10.0844,-0.0325503,0.0442148,0.106279
1.8601,1.20993,0.768517,9.3595,-0.0160345,0.0594973,0.0683917
1.9601,1.05482,0.398607,8.98815,-0.0412947,0.0312189,0.0412408
2.07011,1.08648,0.160078,9.55068,-0.0793948,-0.00842056,0.00755638
2.1701,1.00817,-0.440986,10.2268,-0.0383586,-0.00960566,-0.0296156
2.27013,1.00178,-0.284976,10.072,-0.0216116,0.0211575,-0.0539278
2.38016,0.563896,-0.309409,9.52432,0.0034832,0.0223701,-0.0764327
2.48011,0.20968,-0.0673509,10.1566,-0.0374438,0.0334714,-0.0971364
2.59013,-0.420268,-0.662989,10.2166,-0.0379838,0.0547351,-0.125167
2.69012,-0.46539,-1.35393,9.57787,0.00767794,0.0224647,-0.13382
2.79022,-0.284508,-0.5278,8.99092,0.0121283,-0.00867528,-0.152307
2.90011,-0.23374,-0.614922,9.56068,-0.0162305,-0.0182925,-0.173297
3.00014,-0.251471,-1.09174,10.0342,-0.0273089,-0.020298,-0.182953
3.11015,-0.354066,-1.5201,10.6638,0.00752562,0.0055186,-0.193356
3.21011,-0.379629,-1.23917,10.2073,0.0444794,0.0241266,-0.207208
3.31044,-0.380429,-0.713494,9.1712,0.0258463,0.011616,-0.223627
3.42018,-0.261233,-1.03732,9.51384,0.0017111,-0.00585473,-0.234431
3.52019,-0.294088,-1.3624,9.88518,0.00535255,0.0093361,-0.230906
3.62016,-0.311993,-1.14072,9.92421,-0.0155303,0.0170522,-0.229789
3.73019,-0.284954,-1.14995,10.0871,-0.00816444,0.0372731,-0.235809
3.83023,-0.386332,-1.11859,9.76001,-0.0108718,0.0395305,-0.232873
3.93017,-0.396879,-1.25759,9.39307,0.00987239,0.0241265,-0.232105
4.04018,-0.340001,-1.18334,9.653,0.0158824,0.00258439,-0.217041
4.14016,-0.346566,-0.674765,9.47924,-0.00125357,-0.0129692,-0.202223
4.24019,-0.24539,-0.631039,9.67509,-0.0193285,-0.00509691,-0.179174
4.35046,-0.326359,-1.04236,10.0079,-0.0186846,-0.00838758,-0.1445
4.45022,-0.319196,-1.10127,9.98526,0.00795289,-0.00247356,-0.109406
4.55021,-0.290117,-0.363335,10.0027,0.0308544,0.00724093,-0.0805365
4.66021,-0.338776,0.00291042,9.78411,0.00717148,0.00933741,-0.0595365
4.76022,-0.331105,-0.156874,9.56628,-0.0135721,0.0097181,-0.0375874
4.86026,-0.368408,-0.33576,9.75578,-0.011807,-0.00109702,-0.00806802
4.97024,-0.258348,0.0960504,9.864,-0.00634649,0.00111,0.00769925
5.07031,-0.266278,0.189548,9.75824,-0.0149765,0.00679872,0.0093934
5.17024,-0.305113,0.0731653,9.74687,-0.0223314,0.00726966,0.00776308
5.28043,-0.393968,-0.0503482,9.85788,-0.0142917,0.00367201,0.0129492
5.38032,-0.471704,-0.0780968,9.97596,0.00361014,0.00218761,0.0266157
5.48024,-0.631846,0.22327,9.83787,0.00396107,0.000503533,0.0363961
5.59024,-1.12297,0.279137,9.70091,-0.00138467,-0.00205794,0.0400688
5.69031,-1.34011,0.125743,9.58838,-0.0110345,-0.00736178,0.0478485
