106,63
11,92
105,57
9,80
6,48
106,68
103,26
7,61
6,54
110,88
5,15
4,22
5,36
108,79
104,49
19,61
3,71
103,6
134,22
101,41
8,69
105,76
107,86
128,150
132,149
15,186
136,111
131,179
19,133
13,137
7,110
17,126
20,139
138,120
12,105
23,149
113,112
138,179
134,186
17,101
113,102
138,107
13,112
10,123
21,173
14,184
5,99
15,115
135,116
11,120
135,125
138,135
137,175
133,184
137,187
91,280
34,262
130,195
136,202
137,200
24,212
27,211
47,242
93,252
62,254
141,202
46,246
83,265
47,238
96,271
36,195
138,204
41,225
92,277
142,195
141,200
107,219
32,229
98,235
40,260
128,344
142,334
138,338
119,340
96,352
123,345
75,362
75,374
104,345
62,378
133,331
139,328
130,331
111,349
108,353
107,345
53,380
68,379
121,339
120,336
50,380
145,324
90,353
110,354
112,352
65,376
55,372
64,368
83,369
81,370
143,328
140,324
88,371
100,365
94,348
102,364
82,366
71,357
117,336
71,353
42,394
36,397
17,404
25,390
9,399
29,399
12,408
24,395
22,392
3,402
26,394
8,410
9,402
3,422
10,411
11,414
5,421
9,418
5,406
31,387
117,387
110,466
28,396
104,410
86,446
12,405
104,414
130,439
103,465
93,425
86,426
131,427
122,459
112,467
112,469
100,389
146,391
96,407
16,408
107,430
270,76
215,82
272,77
270,74
235,74
268,78
213,89
272,79
221,81
236,83
248,80
266,82
226,83
234,60
253,79
235,53
251,77
219,83
211,92
233,69
251,82
263,84
203,114
205,144
207,134
198,185
201,132
207,127
200,172
203,156
204,160
202,165
213,105
209,114
245,114
241,128
202,130
275,150
286,167
208,106
203,138
208,147
276,147
198,150
200,182
197,195
192,216
196,203
199,219
195,214
221,222
232,225
268,243
161,204
194,219
191,206
283,229
229,222
246,255
171,205
234,220
213,221
219,222
199,200
212,212
211,216
206,220
198,225
201,226
268,267
168,204
177,206
214,213
272,249
158,327
169,321
167,321
154,328
153,317
188,310
156,314
192,311
178,302
180,317
165,309
194,323
173,303
185,309
253,340
252,334
183,319
250,336
169,334
180,302
244,357
266,339
192,323
258,341
164,300
168,310
239,340
186,307
189,314
256,371
171,311
202,331
287,331
191,332
173,351
224,365
174,324
176,325
192,326
282,328
196,423
227,469
221,474
296,476
282,440
283,465
185,405
220,405
198,409
198,433
190,444
260,456
296,469
220,418
153,448
280,452
190,415
236,428
166,433
277,444
280,447
250,450
227,451
290,455
245,458
184,459
196,459
259,461
233,465
259,469
287,469
259,474
254,388
153,394
168,394
245,395
198,401
169,403
165,418
228,418
403,78
401,79
308,77
417,80
406,79
311,78
385,78
423,82
320,78
435,86
382,80
404,76
406,76
304,78
406,70
419,82
405,63
440,84
443,84
398,82
405,61
406,74
378,81
402,81
413,81
359,82
305,88
394,90
442,91
348,103
363,176
390,120
429,117
307,133
411,137
343,101
339,104
377,104
328,111
422,112
392,117
423,118
435,125
347,128
430,147
440,148
387,170
321,183
341,184
371,275
367,269
362,265
364,270
374,275
366,264
356,261
367,281
361,279
356,267
364,279
338,251
